Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest,Firefox 122.0,,,05-07-2024 21:23:31,05-07-2024 21:25:40,2m - 8.981s,PASSED
,,,,,,,
Test Cases/Registration/TC001_Create a new account successful,Firefox 122.0,,,05-07-2024 21:23:32,05-07-2024 21:23:57,24.884s,PASSED
Start listener action : BeforeTestCase,Firefox 122.0,,,05-07-2024 21:23:32,05-07-2024 21:23:39,7.202s,PASSED
navigateToUrl(URL),Firefox 122.0,,,05-07-2024 21:23:40,05-07-2024 21:23:44,4.319s,PASSED
ActualURL = getUrl(),Firefox 122.0,,,05-07-2024 21:23:44,05-07-2024 21:23:44,0.065s,PASSED
"ExpectedURL = ""https://task-buddy-d414881265e1.herokuapp.com/""",Firefox 122.0,,,05-07-2024 21:23:44,05-07-2024 21:23:44,0.004s,PASSED
"verifyMatch(ActualURL, ExpectedURL, false)",Firefox 122.0,,,05-07-2024 21:23:44,05-07-2024 21:23:45,0.149s,PASSED
"println(""The website is accessible"")",Firefox 122.0,,,05-07-2024 21:23:45,05-07-2024 21:23:45,0.030s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_TaskBuddy/a_Register""))",Firefox 122.0,,,05-07-2024 21:23:45,05-07-2024 21:23:49,4.427s,PASSED
ActualRegisterUrl = getUrl(),Firefox 122.0,,,05-07-2024 21:23:49,05-07-2024 21:23:49,0.026s,PASSED
"ExpectedRegisterUrl = ""https://task-buddy-d414881265e1.herokuapp.com/register""",Firefox 122.0,,,05-07-2024 21:23:49,05-07-2024 21:23:49,0.005s,PASSED
"verifyMatch(ActualRegisterUrl, ExpectedRegisterUrl, false)",Firefox 122.0,,,05-07-2024 21:23:49,05-07-2024 21:23:49,0.017s,PASSED
"println(""The url is correct"")",Firefox 122.0,,,05-07-2024 21:23:49,05-07-2024 21:23:49,0.004s,PASSED
"ActualRegisterTitle = getText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/strong_Register_Title""))",Firefox 122.0,,,05-07-2024 21:23:49,05-07-2024 21:23:49,0.344s,PASSED
"ExpectedRegisterTitle = ""Register""",Firefox 122.0,,,05-07-2024 21:23:49,05-07-2024 21:23:49,0.005s,PASSED
"verifyMatch(ActualRegisterTitle, ExpectedRegisterTitle, false)",Firefox 122.0,,,05-07-2024 21:23:49,05-07-2024 21:23:49,0.009s,PASSED
"println(""The title is Register"")",Firefox 122.0,,,05-07-2024 21:23:49,05-07-2024 21:23:49,0.006s,PASSED
"setText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_name""), fullname)",Firefox 122.0,,,05-07-2024 21:23:49,05-07-2024 21:23:50,0.665s,PASSED
"println(""The fullname should be filled"")",Firefox 122.0,,,05-07-2024 21:23:50,05-07-2024 21:23:50,0.007s,PASSED
"setText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_email""), email)",Firefox 122.0,,,05-07-2024 21:23:50,05-07-2024 21:23:51,0.599s,PASSED
"println(""The email should be filled"")",Firefox 122.0,,,05-07-2024 21:23:51,05-07-2024 21:23:51,0.005s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_password""), password)",Firefox 122.0,,,05-07-2024 21:23:51,05-07-2024 21:23:51,0.386s,PASSED
"println(""The password should be filled"")",Firefox 122.0,,,05-07-2024 21:23:51,05-07-2024 21:23:51,0.005s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_password_confirmation""), confirmpassword)",Firefox 122.0,,,05-07-2024 21:23:51,05-07-2024 21:23:51,0.326s,PASSED
"println(""The confirm password should be filled"")",Firefox 122.0,,,05-07-2024 21:23:51,05-07-2024 21:23:51,0.007s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_btn login_btn""))",Firefox 122.0,,,05-07-2024 21:23:51,05-07-2024 21:23:53,2.068s,PASSED
"println(""The login button should be clickable"")",Firefox 122.0,,,05-07-2024 21:23:53,05-07-2024 21:23:53,0.005s,PASSED
ActualLoginPage = getUrl(),Firefox 122.0,,,05-07-2024 21:23:53,05-07-2024 21:23:54,0.022s,PASSED
"ExpectedLoginPage = ""https://task-buddy-d414881265e1.herokuapp.com/dashboard""",Firefox 122.0,,,05-07-2024 21:23:54,05-07-2024 21:23:54,0.002s,PASSED
"verifyMatch(ActualLoginPage, ExpectedLoginPage, false)",Firefox 122.0,,,05-07-2024 21:23:54,05-07-2024 21:23:54,0.027s,PASSED
"ActualDashboardPage = getText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/strong_taskbuddy_title""))",Firefox 122.0,,,05-07-2024 21:23:54,05-07-2024 21:23:54,0.332s,PASSED
"ExpectedDashboardPage = ""Task Buddy""",Firefox 122.0,,,05-07-2024 21:23:54,05-07-2024 21:23:54,0.002s,PASSED
