Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest,Firefox 127.0,,,05-07-2024 13:51:26,05-07-2024 13:52:52,1m - 25.885s,FAILED
,,,,,,,
Test Cases/Registration/TC001_Create a new account successful,Firefox 127.0,,,05-07-2024 13:51:27,05-07-2024 13:52:03,36.060s,FAILED
Start listener action : BeforeTestCase,Firefox 127.0,,,05-07-2024 13:51:27,05-07-2024 13:51:49,22.161s,PASSED
navigateToUrl(URL),Firefox 127.0,,,05-07-2024 13:51:49,05-07-2024 13:51:50,1.244s,PASSED
ActualURL = getUrl(),Firefox 127.0,,,05-07-2024 13:51:50,05-07-2024 13:51:50,0.014s,PASSED
"ExpectedURL = ""https://task-buddy-d414881265e1.herokuapp.com/""",Firefox 127.0,,,05-07-2024 13:51:50,05-07-2024 13:51:50,0.001s,PASSED
"verifyMatch(ActualURL, ExpectedURL, false)",Firefox 127.0,,,05-07-2024 13:51:50,05-07-2024 13:51:50,0.022s,PASSED
"println(""The website is accessible"")",Firefox 127.0,,,05-07-2024 13:51:50,05-07-2024 13:51:50,0.003s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_TaskBuddy/a_Register""))",Firefox 127.0,,,05-07-2024 13:51:50,05-07-2024 13:51:54,3.771s,PASSED
ActualRegisterUrl = getUrl(),Firefox 127.0,,,05-07-2024 13:51:54,05-07-2024 13:51:55,0.372s,PASSED
"ExpectedRegisterUrl = ""https://task-buddy-d414881265e1.herokuapp.com/register""",Firefox 127.0,,,05-07-2024 13:51:55,05-07-2024 13:51:55,0.000s,PASSED
"verifyMatch(ActualRegisterUrl, ExpectedRegisterUrl, false)",Firefox 127.0,,,05-07-2024 13:51:55,05-07-2024 13:51:55,0.003s,PASSED
"println(""The url is correct"")",Firefox 127.0,,,05-07-2024 13:51:55,05-07-2024 13:51:55,0.000s,PASSED
"ActualRegisterTitle = getText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/strong_Register_Title""))",Firefox 127.0,,,05-07-2024 13:51:55,05-07-2024 13:51:58,3.869s,PASSED
"ExpectedRegisterTitle = ""Register""",Firefox 127.0,,,05-07-2024 13:51:58,05-07-2024 13:51:58,0.002s,PASSED
"verifyMatch(ActualRegisterTitle, ExpectedRegisterTitle, false)",Firefox 127.0,,,05-07-2024 13:51:58,05-07-2024 13:51:58,0.007s,PASSED
"println(""The title is Register"")",Firefox 127.0,,,05-07-2024 13:51:58,05-07-2024 13:51:58,0.001s,PASSED
"setText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_name""), fullname)",Firefox 127.0,,,05-07-2024 13:51:58,05-07-2024 13:52:00,1.819s,PASSED
"println(""The fullname should be filled"")",Firefox 127.0,,,05-07-2024 13:52:00,05-07-2024 13:52:00,0.001s,PASSED
"setText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_email""), email)",Firefox 127.0,,,05-07-2024 13:52:00,05-07-2024 13:52:01,0.506s,PASSED
"println(""The email should be filled"")",Firefox 127.0,,,05-07-2024 13:52:01,05-07-2024 13:52:01,0.001s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_password""), password)",Firefox 127.0,,,05-07-2024 13:52:01,05-07-2024 13:52:01,0.306s,PASSED
"println(""The password should be filled"")",Firefox 127.0,,,05-07-2024 13:52:01,05-07-2024 13:52:01,0.000s,PASSED
